Nman_b,lman_b,lmanS_b,lamml_b,Nman_o,lman_o,lmanS_o,lamml_o,Nman_p,lman_p,lmanS_p,lamml_p
1537.9976147517793,104.01990641773855,104.01990641773855,103.94260050311304,1506.608892890477,104.01990641773855,104.01990641773855,103.94260050311304,1261.0782051239776,109.72259502056096,109.72259502056096,109.53562198624329
1687.51872225813,106.27241301946762,110.54446457072282,106.15178965787914,1898.452480633785,106.2728167788272,110.54488456083081,106.15218565263343,1349.6960255110223,107.02714708944896,117.43296316301617,106.89200960700396
1798.320573850425,106.56596280271349,117.80277299489526,106.4396942513808,2023.0184662376303,106.56144869964088,117.79823045136696,106.43526695800738,1439.3617745809877,106.64340320895707,125.23450840616135,106.51564541861943
1916.8987772769935,106.59383010742506,125.57048770801428,106.46702564623406,2156.342566571047,106.59035508367703,125.56155212040021,106.46361744988478,1534.536153773305,106.61226252309106,133.51534287147928,106.48510359226725
2043.6781332080443,106.61377415614737,133.87543617179514,106.48658615544883,2298.925370148876,106.61225195793263,133.86399830889195,106.48509323028499,1636.3173552109636,106.63270143146426,142.3710169293403,106.50514944459846
2179.286854736727,106.63552245948888,142.75877080671333,106.50791622206873,2451.4591014877833,106.63500143673778,142.74587651996157,106.50740521898875,1745.1166247910808,106.64903230621118,151.83731183965352,106.5211662639725
2324.229887746814,106.65093870937872,152.25356915533027,106.52303600553024,2614.5062687339255,106.65102538921367,152.2399410093598,106.5231210184448,1351.1909663033584,69.49941550880523,105.52604425284112,70.0859653773045
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
