Nagr_b,Nagr_o,Nagr_p
5801.400824784403,5801.400824784403,6026.386668700762
6275.29411153758,6252.081030840397,6593.301336179469
6764.220371881411,6714.26957262443,7108.564600323378
7184.084279275185,7104.395098652728,7953.118137131858
7917.746967134864,7800.671109363488,8516.785006413256
8352.462802515953,8198.219856451236,9535.089319720513
9211.668751848856,9007.78444042224,9964.357634182514
,,
,,
,,
,,
,,
