Dind,lind,Nind
,,8577
106.13856371651877,101.2906610703043,9221
122.27434109491675,101.80119292918339,11478
133.90678245242927,100.80143753267122,15493
100.92744017731013,104.83038146259602,16392
134.6532966412125,101.39374084919473,22380
120.56411094970125,103.56438784629132,27944
115.06826895777807,108.97948038935013,35042
116.7859176627619,113.56627475600708,46476
97.7624184281184,92.69289310611927,42116
119.77257398717914,106.10304159939214,53522
139.8508962432456,100.83766862224881,75478
96.38818497662025,100.02216539918915,72768
92.08938918237514,113.12816347845205,75809
109.60274010693801,89.23230619055784,74142
66.01234940802375,93.72354805643224,45871
135.26903597945636,99.93834012774956,62011
124.9975150168443,77.46779603618712,60047
40.873134439933864,99.57995903209152,24440
