,Nmin_b,Nmin_o,Nmin_p
0,3337.032564547302,3258.047860591592,2033.4331774170294
1,3668.3588546559513,5220.390307541458,2031.8125722833809
2,3663.320074984084,5205.47670930307,2053.6895283073627
3,3741.0538127532473,5421.183793653961,2239.3760606816772
4,4399.863379407635,7244.330332162867,2246.308323241967
5,4424.62835208345,7313.319930918176,2267.925309765739
6,4502.595520506301,7530.576759133783,2889.473747622415
7,,,
8,,,
9,,,
10,,,
11,,,
