,Nmin_b,Nmin_o,Nmin_p
0,23654.353861952324,23070.19574478182,15926.238445540013
1,24560.27752297987,31019.56877022427,15511.07658765341
2,23904.81229134658,30156.53160447774,14983.503761193297
3,23304.62573443021,29913.24253439778,13538.428924270554
4,22537.965587325278,32470.578880193938,12797.364641058915
5,21351.977959384123,30867.628436548708,12903.295371203194
6,21679.149220185354,31672.561538118,19699.29744432516
7,,,
8,,,
9,,,
10,,,
11,,,
