Nman_b,lman_b,lmanS_b,lamml_b,Nman_o,lman_o,lmanS_o,lamml_o,Nman_p,lman_p,lmanS_p,lamml_p
1524.7554538502693,101.41342910471003,101.41342910471003,101.86495767093001,1484.7406016642726,101.41342910471003,101.41342910471003,101.86495767093001,1101.4425661538269,102.64953893399597,102.64953893399597,103.49595034014617
1656.5260899666912,104.30241896040162,105.77665970690452,105.67685299320466,1981.094207832061,107.77469733727155,109.2980162769497,110.25837191974219,1139.4018365801533,103.44632317587634,106.18717378420848,104.54727217795126
1708.7442637797938,103.15226992978737,109.11102554357878,104.15928182517865,2039.7745943918123,102.96201898565774,112.53544427002022,103.90825405415433,1183.4911854453742,103.86951709658048,110.29610462816404,105.10565798313817
1774.4560990929383,103.84562141369173,113.30702250658129,105.07412867830286,2128.5443321102944,104.35193858981022,117.43291769642161,105.74219197088627,1247.040866147012,105.36967925770588,116.21865168044016,107.08505611545819
1914.7839812100726,107.90821943630316,122.26759048314314,110.43454846938157,2423.7858926441736,113.87058545504519,133.72155089785664,118.30162875412397,1295.803046555564,103.91023115058071,120.76306960123362,105.15937839052849
1984.7719506557062,103.65513656540013,126.73663789052618,104.82279228100246,2512.0388243824254,103.64111912715089,138.5905118647213,104.80429688643147,1347.9883548745534,104.02725618354623,125.62650778918953,105.31378778551874
2061.2793579021604,103.85472029777418,131.62198079600887,105.08613425651684,2612.6743788609947,104.00613053834111,144.14262868377716,105.2859134238353,1240.393991828846,80.27986510027704,100.85279098335037,73.98014747930493
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
