Nman_b,lman_b,lmanS_b,lamml_b,Nman_o,lman_o,lmanS_o,lamml_o,Nman_p,lman_p,lmanS_p,lamml_p
826.9498061922515,97.84688944257675,97.84688944257675,101.8730785578771,805.6604593821512,97.84688944257675,97.84688944257675,101.8730785578771,647.0072711652388,106.45749884758997,106.45749884758997,94.38235877519821
862.2223544689491,100.17557836822155,98.01868741441557,99.84725722717351,889.8364807544999,89.53424556833596,87.60647427449487,109.10458599089183,664.829742733251,102.75460143375432,109.38997863718468,97.60366003349243
889.3724986869473,103.14885644953155,101.10515517481058,97.26068153949832,921.5156304766515,103.56010912199179,90.72536035659655,96.9029160917376,687.8111862528818,103.45674118386303,113.17130707975522,96.99284007070533
912.2708742435912,102.57466647444693,103.70827570903397,97.76019278232374,928.5517700616695,100.76353990668379,91.41808468840183,99.3357655405283,755.9792732958688,109.91087211220845,124.38757059214447,91.37812873601062
943.4034615762959,103.41264729716579,107.24747337695557,97.03119913843705,842.1625850981724,90.69635234686379,82.91286819774727,108.09362197823607,798.9544137756405,105.68469824475632,131.45862863429113,95.05464949138629
998.1824631528016,105.806529635261,113.47482970165716,94.9486634032851,891.9524052707363,105.91213870736847,87.81479197185568,94.85678977060063,784.3758583366072,98.17529571303835,129.05989740202023,101.58738456907878
975.3456934738867,97.71216480734554,110.87871261293793,101.9902810046346,862.5948639858086,96.70862020087084,84.92447364824673,102.86330532648387,583.1082279289894,65.01270194863903,83.90532643319474,130.4368754089838
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
