,0
0,98.6724907815214
1,103.91851279105752
2,100.0
3,100.0
4,100.0
5,100.0
6,100.0
7,96.23571585341102
8,122.41947000089337
9,100.0
10,100.0
11,100.0
12,100.0
13,100.0
14,72.08639541231172
15,100.0
16,100.0
17,100.0
18,100.0
19,100.0
20,113.77075174096757
