,Ncon_b,Ncon_o,Ncon_p
0,12698.981838686765,12393.756441010411,9139.880857243643
1,13942.777357786634,19077.685787279443,9176.94150002619
2,14142.842256313303,19727.473019749876,9289.40255705265
3,14572.963104240442,21005.29082727306,9928.998125887947
4,16617.373435838857,26753.095886149265,9998.394638382422
5,16938.593122926814,27845.926092669546,10114.451614307844
6,17410.316314348936,29363.836133734552,12177.113431841546
7,,,
8,,,
9,,,
10,,,
11,,,
