,0
0,98.67977905990975
1,103.89699940968738
2,100.0
3,100.0
4,100.0
5,100.0
6,100.0
7,96.25638249015545
8,122.29638284156438
9,100.0
10,100.0
11,100.0
12,100.0
13,100.0
14,72.23964641669292
15,100.0
16,100.0
17,100.0
18,100.0
19,100.0
20,113.69514769173924
