Nman,lman,lmanS,lamml
1566.3915387104603,104.18269818946997,104.18269818946997,101.86495767093001
1846.3740831724108,113.16592111664608,117.89931005028905,105.87034599894476
2137.3073187507484,115.75700386123602,136.4767088872837,104.73152471074063
2559.914090537065,119.77285943293028,163.46205669425578,105.93740877598363
3540.953767031403,138.32314842598947,226.10586330137048,111.50770320092606
4392.025835165425,124.03510816938814,280.4506521231838,107.21727996199547
5410.8052787999995,123.195597832419,345.50285750807393,106.96519118044331
