Nagr_b,Nagr_o,Nagr_p
14102.747556614628,14102.747556614628,15162.0435442418
15874.537104436315,15815.934812303478,17324.38829326745
17871.130736618106,17739.428484670785,19616.87932687141
19934.807244823314,19714.1311954608,22221.69810514115
22245.76579536859,21917.49781920641,25182.224957847746
24834.316635641375,24376.639521975027,28532.052442427856
27719.100028501653,27106.831516723396,20848.85205807987
,,
,,
,,
,,
,,
