Nret_b,Nret_o,Nret_p
910.1202795227073,910.1202795227073,924.4965177725611
1256.3263476789023,1487.729598988527,1266.9601036341307
1663.1337350500435,1927.737043125954,1735.9450847877554
2227.0330851061285,2591.9635226367996,2458.2745470906493
3279.153076965516,4350.532224040991,3383.2215983040064
4368.54379711455,5680.948460851402,4689.870277591949
5895.80933865237,7602.102052218579,-1979.7177711150819
,,
,,
,,
,,
,,
