ltrd,lelc,lwtr,lind,Ntrd,Nelc,Nwtr,Nind,Nwhl,Dtrd,Delc,Dwtr,Dwhl,Dind,lret,lwhl,lagr,lmin,lcon,lman,Nman,Ncon,Nmin,Nret,Nagr,prognoz
103.6516724426855,105.57746189144864,102.35979739078849,103.1882488486387,3513564.7783957683,49847.58252551961,9807.108920993118,627049.631120596,3245684.6104165968,105.15076202441625,105.71453810144959,106.14908428119203,105.06484539168503,99.29174790231336,101.30279777028395,103.84827651162595,105.08940167679864,101.43231675932724,108.74765786878943,104.78641880422563,271391.8920366358,121571.26721820474,296003.04763744737,267880.1679791715,13721.433100463291,базовый
111.60855429882827,117.02173952453052,107.20181639936506,98.13996279296207,4774798.930430693,61665.941587897054,11159.876658721196,720627.1012393086,4478527.676320182,121.76140209719884,105.71453810144959,106.14908428119203,122.95297562630462,117.10158820485601,104.13868383985009,112.22507450751141,105.0941692905243,112.6870556819228,111.02518304447416,106.68701254175942,301615.0989929459,140162.74179648273,346186.1839997444,296271.25411051034,15355.641384719878,базовый
101.43721883696523,102.33839847934875,100.98936518753297,96.002394596964,5400079.779623838,66714.26413478353,11963.30813769312,733583.2106549289,5083834.288566886,111.49303936378456,105.71453810144959,106.14908428119203,111.83957572972608,106.03682767480909,100.50738128132215,101.49873104781658,105.1205565807718,99.80088322995957,107.35101694139195,102.58397877416964,309408.7691306144,150466.12869146164,345496.86925183784,316245.4910569517,17188.796880885668,базовый
101.2861372396757,102.12401881031028,100.89866217718864,95.04487390520148,6090166.476528816,71375.77798083772,12689.355166258083,745232.8308118796,5756067.176288055,111.3471177297151,104.76211508454134,105.12423690099337,111.72806665612526,106.88429504929762,100.45295585682369,101.3379662019517,105.10284947989985,100.53943805686458,107.56259055521845,101.42152328024513,313807.0868149259,161845.26592868494,347360.6108498579,334099.30024076113,19042.28033212132,базовый
100.57318020711793,101.08613673713982,100.45953924710301,94.43974155564545,6822666.368099581,75586.93096858471,13400.888427464872,752392.1801986933,6470589.374442104,111.38912363749415,104.76211508454134,105.12423690099337,111.74873558108345,106.9048735137823,100.20135116618604,100.59476227323702,105.12131812916157,100.0,107.41130907119933,100.71275099634032,316043.74995278585,173840.11880376426,347360.6108498579,352076.99365747743,21099.33349230595,базовый
99.03245962049569,98.83859183655824,99.50861377324114,93.9269848022659,7469734.092954175,78266.78951101571,14018.357261181915,749163.1721841205,7100713.301712352,110.55374070615274,104.76211508454134,105.12423690099337,110.84868559556918,106.0087627243331,99.66087255290165,98.9982664854946,105.13074534585188,98.3920596381921,106.94901329491816,99.70226149766157,315102.7660249423,185920.29177133934,341775.25938698056,369020.7912418228,23380.697568644755,базовый
100.23420374162127,100.58713580577086,100.24841434499461,94.27169410492917,8334684.934293606,82475.35990488381,14773.299151534655,754234.1388927265,7946270.673634314,111.31869350283141,104.76211508454134,105.12423690099337,111.63777010239177,106.79439369120311,100.08196591258458,100.2421154712942,105.13299063086781,100.0,107.40853096297207,100.03410139039423,315210.2204493275,199694.25415366702,341775.25938698056,388414.2606592923,25909.287323682638,базовый
103.6516724426855,105.57746189144864,102.35979739078849,103.1882488486387,3443801.1416415107,49847.58252551961,9807.108920993118,612850.4251340098,3175920.973662339,103.06293953387602,105.71453810144959,106.14908428119203,102.80655273871929,97.04333898655726,101.30279777028395,103.84827651162595,105.08940167679864,101.43231675932724,108.74765786878943,104.78641880422563,264252.576164901,118627.07171215914,288943.15752259595,267880.1679791715,13721.433100463291,оптимистичный
114.48673196225796,121.39670292270843,109.05284244180994,84.92681945551298,6407778.333421668,63752.36823060937,11310.920809335972,837148.9356661711,6109678.751945008,162.52278484704172,105.35261735502445,105.75964227671653,166.88712065664743,160.84344923540843,105.17037490820968,115.2725409648398,105.0941692905243,116.2210823630905,117.2325697327223,108.0114148767912,353527.9096564111,169652.93564965742,408557.7369698147,298099.58147666056,15296.411085361126,оптимистичный
101.4276014502457,102.48206845946963,101.0501512674421,89.44576588273192,7727305.234717736,68831.86458939686,12088.012569911494,851312.7742035,7410312.7574078655,118.89523030749976,105.35261735502445,105.75964227671653,119.52753876173335,113.69114324921786,100.49864539021169,101.47292648679009,105.1205565807718,99.69778445136042,112.34047270353778,102.69907273616171,363069.8850806697,190588.90986425392,407323.0119635219,316992.4773098704,17056.450202659405,оптимистичный
