Nman,lman,lmanS,lamml,year
271391.8920366358,104.78641880422563,104.78641880422563,106.35553734003332,2019
301615.0989929459,106.68701254175939,111.79349977172471,108.87919750459419,2020
309408.7691306144,102.58397877416965,114.68222007672748,102.8826066479261,2021
313807.0868149259,101.42152328024511,116.31245453342011,101.5858073211662,2022
316043.74995278585,100.71275099634032,117.14147271197493,100.79512292473329,2023
315102.7660249423,99.70226149766158,116.79269744550513,99.6678521531354,2024
315210.2204493275,100.03410139039424,116.83252537921297,100.03804245438724,2025
286717.09963914927,94.75687230867148,110.70684688857702,94.15092922200735,2019
371564.70400055085,104.62754551840703,115.8298566203391,105.16234638159024,2020
377589.44352795475,101.62145097813031,117.70798096347653,101.80884046555168,2021
384246.8473861441,101.76313294036687,119.78332914928434,101.966896472171,2022
406499.2076140163,105.79116273282263,126.72017666711196,106.46044168773048,2023
413746.3683973485,101.78282285613054,128.97937294006223,101.98886193204429,2024
419204.5296070724,101.31920462066317,130.68087478758991,101.47166379519525,2025
273878.5909791599,92.94567693179656,121.4622236917189,92.13041578503054,2020
264555.4928299127,96.59590108306179,117.32752945054004,96.20249273474882,2021
261349.08037820258,98.78800004588392,115.90551984743396,98.64793040873805,2022
254392.89138806306,97.33835337010825,112.82052448455623,97.03074949900797,2023
250705.60988092393,98.55055639054223,111.18525460225808,98.38304562476152,2024
249713.37421584755,99.60422279120613,110.7452087050029,99.55848321024484,2025
275375.35490609286,97.19011440264383,107.63339503583899,96.86537870054543,2019
