Nman,lman,lmanS,lamml,year
315751.1355049742,100.98659311201182,100.98659311201182,101.31002522329953,2019
343952.6862923199,104.95769084562241,105.99319619403197,106.58295702454566,2020
351047.7356471903,102.06279806427807,108.17962179338892,102.30119359835989,2021
355342.4209285883,101.22339068032451,109.50308120441954,101.36477673244336,2022
357582.9878564734,100.63053741853561,110.19353910586284,100.70340800497519,2023
356463.6734140762,99.68697771415052,109.84860877089523,99.65080203786555,2024
356366.9130149927,99.97285546710643,109.81879087915428,99.96971840026086,2025
326975.40275829454,95.21559949855461,104.56462009765075,94.66267105996671,2019
414699.3508741767,104.2466632719292,109.00512741476997,104.73744595022859,2020
421247.83026561566,101.57909082269718,110.72641737804597,101.76158478881031,2021
428406.441318627,101.69938229675806,112.60808251280292,101.89577822967097,2022
452078.9954928054,105.52572321305784,118.8304934679922,106.16432558494161,2023
460216.80642084667,101.80008604893717,120.96954460279274,102.0081202149862,2024
466202.2577391682,101.3005720857678,122.54284073217707,101.45087791665242,2025
318344.8662272654,93.50344277004193,114.5817749527948,92.75264207008539,2020
307753.5905608586,96.67301822959327,110.76966018790685,96.28852223370713,2021
303549.539763919,98.63395556513963,109.2564974093962,98.47608315956221,2022
295357.4942279304,97.3012492318849,106.30793684634446,96.98935727219192,2023
290577.3320930657,98.38156734524037,104.58741448182198,98.1945266824686,2024
288747.3835436716,99.37023699122956,103.92876163358605,99.29745590256137,2025
319862.1245034816,97.76731983313857,101.60836478492828,97.50929119231807,2019
