,lcon_b,lcon_o,lcon_p
0,108.74765786878942,108.74765786878942,116.82983202262926
1,111.02518304447415,117.2325697327223,104.77759206524453
2,107.35101694139195,112.34047270353781,104.76203090741872
3,107.56259055521846,112.85294943819162,103.20679716180472
4,107.41130907119931,115.14503843363295,104.34886037503487
5,106.94901329491815,111.56572984163577,104.70365954324912
6,107.40853096297207,112.05554016190223,72.54755059382818
7,,,
8,,,
9,,,
10,,,
11,,,
