,c1
0,121571.26721820474
1,140162.74179648273
2,150466.12869146164
3,161845.26592868494
4,173840.11880376426
5,185920.29177133937
6,199694.25415366705
7,109654.15177176683
8,156820.4330238603
9,176172.8157547395
10,198816.21868753465
11,228927.01142005748
12,255404.09109543206
13,286194.43387258315
14,77554.21425057088
15,81259.43823686888
16,85129.03780090342
17,87858.95336897446
18,91679.81657795815
19,95992.12301966058
20,79046.77748847229
