,Ncon_b,Ncon_o,Ncon_p
0,121571.26721820474,118627.07171215916,96096.92147568944
1,140162.74179648273,169652.93564965742,100688.04037105624
2,150466.12869146164,190588.90986425392,105482.83597360019
3,161845.26592868494,215085.20608390708,108865.4565637927
4,173840.11880376426,247659.94321037346,113599.86326639626
5,185920.29177133937,276303.6231680338,118943.21407604408
6,199694.25415366705,309613.51742784714,97946.34685709687
7,,,
8,,,
9,,,
10,,,
11,,,
