,c1
0,102.13375854786533
1,101.58408647691877
2,99.72656920766003
3,101.98725995119844
4,99.31283751063617
5,99.35406088770375
6,97.8716581766824
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
