,lcon_b,lcon_o,lcon_p
0,103.115743648761,103.115743648761,102.07142619706866
1,100.74813432039976,103.73008812473508,102.37678286307931
2,102.38633294724747,102.40574935321862,101.45603777338974
3,102.20486289391404,103.64146083858972,106.04344826186367
4,112.07606122905878,123.3683754173519,104.95710842212745
5,104.85948342379471,104.72886835328046,101.08242837414268
6,101.68305193434088,102.62860657751689,87.1290261918618
7,,,
8,,,
9,,,
10,,,
11,,,
