,Nmin_b,Nmin_o,Nmin_p
0,45593.440241580196,44439.172372496934,30402.338245142837
1,48867.50929171341,63652.85461812987,29056.551821204124
2,46653.39211348357,60641.951757339346,28919.62894247701
3,47179.54676840152,63184.47544527843,27736.774954205168
4,50904.83915256335,82281.31408629939,27262.820813975017
5,50232.31480610804,81683.30024236845,28400.74890258995
6,52954.23597575896,87662.5636608746,37700.60285690729
7,,,
8,,,
9,,,
10,,,
11,,,
