,Nmin_b,Nmin_o,Nmin_p
0,296003.0476374465,288943.1575225953,242530.24478950372
1,346186.1839997435,408557.73696981615,242178.12081268453
2,345496.8692518371,407323.01196352334,241539.02650271732
3,347360.6108498586,415787.37939545,227660.2615584489
4,347360.6108498586,460296.4297390623,223563.60720245237
5,341775.2593869813,454251.0205474539,222211.00691383757
6,341775.2593869813,458453.1083691528,249261.3228820091
7,,,
8,,,
9,,,
10,,,
11,,,
