Ntrd
3515624.776256665
4725765.060856421
5336885.017616367
6016479.730607175
6741477.609369485
7386956.09593303
8243101.444186618
7405106.448029694
13437396.915018944
16129696.84481
19768238.0860166
27283398.773664534
33001791.605034977
40859147.59468488
24543632.957486082
25955872.62249271
27396306.81208879
26991034.047192093
27729181.494847722
28986707.742066246
33763606.685207136
