,c1
0,101.84578696896934
1,104.35693060173794
2,103.36110573188715
3,104.25869330194682
4,108.8569693198189
5,104.44048094371074
6,104.85193968191257
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
