,Nmin_b,Nmin_o,Nmin_p
0,6152444.429260214,5993560.798955549,4351100.83616776
1,6457392.98767473,7754734.422747411,4493237.614666713
2,6661272.457844798,7983326.041206995,4581098.098178171
3,6854413.87079806,8359612.677303569,4969447.501566169
4,8015276.213772784,11099344.524717528,5314003.943935243
5,8550204.339735178,11795772.561098058,5389548.094506068
6,8734650.640640208,12184498.885015404,5078070.352372838
7,,,
8,,,
9,,,
10,,,
11,,,
