,Dmin_b,Dmin_o,Dmin_p
0,98.72696465171124,96.39018191896044,73.23182028143842
1,103.75771800775505,121.49949499691306,100.0
2,100.0,100.0,100.0
3,100.0,100.0,100.0
4,100.0,100.0,100.0
5,100.0,100.0,100.0
6,100.0,100.0,113.20567382488821
7,,,
8,,,
9,,,
10,,,
11,,,
