,lamm_b,lamm_o,lamm_p
0,102.55303428833697,102.55303428833697,102.55303428833697
1,105.8787287314004,110.71150088578752,104.6295504181856
2,104.08185165591868,103.62499575994968,105.12418043216613
3,105.11520679245203,105.8348689405471,107.1503199689736
4,110.67042387747942,118.90724551570298,105.09537237840078
5,104.58830254859089,104.2275159694601,105.316449729907
6,105.09444582734223,105.30470207937651,73.10334484713195
7,,,
8,,,
9,,,
10,,,
11,,,
