Ncon
659872.787612891
702982.7683742319
725321.9577321901
748441.7267077287
829115.4526838744
869210.4583343158
892340.5702326526
644249.9278661984
836705.3945852468
872235.9803288846
920741.716699948
1116055.2940016948
1180186.6797466807
1232940.3667307317
490404.8086864588
503044.83852841123
513037.88722876884
539975.9622213228
563992.015904038
573477.5092621384
551602.8468003955
