Nagr_b,Nagr_o,Nagr_p
13721.433100463291,13721.433100463291,14673.988803580292
15355.641384719878,15296.411085361126,16682.53541285085
17188.79688088567,17056.450202659405,18773.291544012653
19042.280332121318,18822.030189261808,21129.786134533715
21099.33349230595,20774.02204289414,23784.209605125467
23380.697568644755,22930.506939991206,26772.666055021982
25909.287323682634,25311.39021429513,21700.08600792774
,,
,,
,,
,,
,,
