Dind,lind,Nind
,,2579
103.39064839672075,160.62586273749517,4283
122.87742297092586,115.88799906607518,6099
133.524544121398,135.7006230529595,11051
99.47796527463066,165.19137634603203,18160
131.50694388250113,101.46279185022027,24231
123.8203556209712,105.23645743056416,31574
116.12661582668719,100.08504465699627,36697
129.40898403290967,99.72790691337167,47360
96.78746305717715,91.75248099662163,42058
129.0057348635971,96.73549146416852,52486
145.34233186864844,100.8895972259269,76963
101.03676838451281,111.46343307823241,86675
101.50970378113455,101.32577559850016,89150
102.96977587544836,105.1879865395401,96560
59.40536064392941,97.27725455675227,55800
138.77595629832516,107.79603763440862,83474
116.2270651290806,97.04040539569206,94148
56.06046040562282,99.59491651442409,52566
