,Nmin_b,Nmin_o,Nmin_p
0,43383.73925788923,42318.31323137922,29397.621863450517
1,43583.65827436353,52743.71345192538,29262.15434609633
2,43365.33021723121,52439.34105632139,27806.184191988646
3,41447.00540541941,50673.118148158654,26541.649487445833
4,41324.676252356985,54538.43525278721,26373.215625839464
5,41121.77028813135,54391.70112478484,26695.002795889883
6,41813.727491734906,55691.03508198362,36466.28467850743
7,,,
8,,,
9,,,
10,,,
11,,,
