,c1
0,23876.50875459822
1,26454.744171412673
2,29193.898042706125
3,31784.90982360847
4,39063.415661236635
5,44224.54638141989
6,47896.14992084645
7,38268.36453468821
8,41955.86890351369
9,46008.36083570655
10,50708.11436757686
11,70102.41235971454
12,79106.46215346569
13,86217.3545977235
14,57426.823373871994
15,61893.998045394765
16,67813.25292795533
17,78874.48723905109
18,90747.81850317455
19,99280.46409188394
20,88579.28372723804
