Nman,lman,lmanS,lamml
335.81536876090524,102.92276792174557,102.92276792174557,103.48691234855083
365.157687928083,105.23503206149431,108.31080782102634,106.24548319573114
381.0314333772572,104.34709331720286,113.01917970962262,105.18615701755911
399.37557959771635,104.81433934672175,118.46030654772514,105.74358955882214
427.5289785965871,107.04935415110488,126.81099308475878,108.41000062164206
447.77274686342207,104.73506341799039,132.81557402830552,105.6490120137562
470.13926134999997,104.99536517669397,139.4501969625417,105.95955648429732
