,Dmin_b,Dmin_o,Dmin_p
0,98.63956585479343,96.14235395581777,71.39408128524568
1,104.01569987249718,122.97551842359681,100.0
2,100.0,100.0,100.0
3,100.0,100.0,100.0
4,100.0,100.0,100.0
5,100.0,100.0,100.0
6,100.0,100.0,114.11229437264889
7,,,
8,,,
9,,,
10,,,
11,,,
