Dind,lind,Nind
,,14417
104.21765467649165,99.0944509953527,14889
119.30089075991691,100.40697830613205,17835
136.87749384197676,101.49474628539389,24777
100.60184259317332,122.78285506719943,30605
141.56978134367017,102.1454500898546,44257
116.78804538368176,99.75257699346996,51559
116.71340786282403,98.0768730968405,59019
133.88071185388668,100.44161541198598,79364
90.07817813295493,97.94425432185878,70020
125.59677056895859,103.13173950299917,90697
149.0676765017208,100.67758139740015,136116
101.05613971435109,102.7992183137912,141404
102.10082973748621,103.92821207320868,150046
105.91679445776028,104.13851285605747,165501
60.928558465537854,97.55113262155514,98368
137.47267033493688,100.83035641672089,136352
116.3001337514765,93.37575979816944,148073
32.20074078241736,98.00631107629344,46730
