Dind,lind,Nind
,,22
32.69509777877679,222.44090909090912,16
49.86144272166767,3259.03125,260
100.19257794201842,88.67538461538462,231
124.7288093312268,114.53419913419914,330
138.5233411829893,94.06575757575759,430
125.967248515386,214.5260465116279,1162
75.36311642088552,182.02177280550774,1594
171.29143415271784,103.28212045169384,2820
77.28381425347885,123.47414893617021,2691
275.0364385073655,131.30248978075065,9718
112.47321287079669,105.32337929615149,11512
113.52326962292983,100.07805767894372,13079
94.25355074198339,109.97433290006882,13557
90.37205831868934,123.9579036660028,15187
72.61864635802051,114.32101139132153,12608
83.67636405185632,106.06719543147207,11190
106.55876136025711,91.80701519213582,10947
142.03434085170008,101.10943637526263,15721
