,Dcon_b,Dcon_o,Dcon_p
0,98.74554706711636,96.44287420217854,73.62255368553218
1,103.70286683878382,121.1856682460931,100.0
2,100.0,100.0,100.0
3,100.0,100.0,100.0
4,100.0,100.0,100.0
5,100.0,100.0,100.0
6,100.0,100.0,113.01291145026276
7,,,
8,,,
9,,,
10,,,
11,,,
