Nagr_b,Nagr_o,Nagr_p
12909.951724804481,12909.951724804481,13936.037184734601
14600.284096990788,14545.618887975103,16017.108128531358
16529.732640506558,16406.185771397526,18239.63060284448
18539.280782420064,18331.134065391405,20780.52776364318
20803.123069410627,20491.778172436152,23690.81673303875
23358.6166899444,22922.01981137326,27028.761321446134
26247.52462674423,25659.534376385953,19141.6744473261
,,
,,
,,
,,
,,
