,Ncon_b,Ncon_o,Ncon_p
0,-1195.2114252216033,-1166.7654350519078,-889.7505569660997
1,-1811.188603468223,-2293.016532957207,-1229.7761875516674
2,-1951.091578575439,-2816.3480072725224,-1228.877619594978
3,-2105.6223603236604,-3451.8821316350086,-1233.406407051927
4,-2861.886728050855,-5182.377709009547,-1583.3601311632463
5,-4294.374638371035,-8468.81612733289,-2252.9226840415886
6,-6743.009858394258,-14434.45726841397,-4440.211006658178
7,,,
8,,,
9,,,
10,,,
11,,,
