Dind,lind,Nind
,,343391
87.22209875129614,123.78100503507666,370740
116.27310764705929,104.38514403625183,449974
116.88050232985012,97.54381275362576,513014
119.83456389321555,107.88523529572292,663244
135.04404514341738,100.05565357545639,896170
113.91071461055205,98.91944675675376,1009803
111.1245852530569,105.43128639942643,1183086
128.56150936583936,123.63848680484764,1880533
80.25424397988552,127.41640540208547,1922978
126.69735495000069,114.69566916522184,2794402
138.629886630385,99.82956800775263,3867274
101.44300962758297,95.182326698341,3734078
98.99395987236085,112.10228350880726,4143874
107.01257330493522,99.37349388519053,4406684
68.29397478992183,101.24447064958595,3046952
126.45302572722301,102.721178574523,3957809
114.63550907996526,105.30565600816006,4777775
131.7436585924363,100.39815317799604,6319477
