,Ncon_b,Ncon_o,Ncon_p
0,3412.1838133433207,3315.2850597968186,2088.3813676635323
1,3568.804022298744,4793.89047182094,2008.9666738902076
2,3437.6888423020296,4630.220653605304,1909.1296032272041
3,3319.2422640141795,4605.057398125895,1640.533818885314
4,3167.08642209394,5208.0442785895675,1509.4075286286045
5,2930.9517315017024,4864.521637223395,1527.6336708788424
6,3002.8607762126594,5078.2215450131725,2651.795484219761
7,,,
8,,,
9,,,
10,,,
11,,,
