,Ncon_b,Ncon_o,Ncon_p
0,24946.1587946801,24375.967362409203,18229.648635848145
1,26398.752059228143,31877.49262660737,18187.989311549885
2,26393.131481859054,32002.61831713165,18247.21590577089
3,26670.88168439489,32792.56479914394,18996.305035168247
4,28926.450726968054,38218.40466158382,18986.530421729778
5,29017.34720697248,38573.01536420983,19034.767900554885
6,29272.607471080817,39292.92778982251,21463.1715994224
7,,,
8,,,
9,,,
10,,,
11,,,
