,c1
0,101.70849491796928
1,103.93405533470528
2,102.7315821185403
3,103.42310514558694
4,107.14066593250757
5,103.07049992324204
6,103.40921187218115
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
