Dind,lind,Nind
,,118
0.27075323550116426,313.0,1
120.19230769230768,83.2,1
0.0,63.8,0
,,594
150.4256201542214,95.8,856
106.95567062389492,118.4,1084
25.962547467525248,577.4,1625
110.24991719846551,94.38695384615384,1691
175.49817844387312,100.8196924896511,2992
109.08045887735052,107.57770721925134,3511
249.66712058855381,94.16126459698091,8254
106.69856551394204,119.63347467894354,10536
90.2825896061786,83.73480447987852,7965
71.28261420462331,99.03727558066541,5623
69.97031681771057,81.20615329895074,3195
107.35062203840708,116.73971830985916,4004
116.68053014416522,83.49942557442557,3901
102.5260878659467,105.88710587028967,4235
