,c1
0,23871.985359869814
1,26452.00910477731
2,29196.264787890523
3,31796.9988186323
4,38987.879173749076
5,44117.64044416286
6,47812.57407789885
7,38243.35725109661
8,41937.808748173265
9,46004.08371493374
10,50699.633049138945
11,69697.9383986367
12,78603.4725318464
13,85706.56819295594
14,57551.73299642139
15,62097.72387755015
16,68122.25451440823
17,79086.1713011784
18,90884.10930858372
19,99655.8051099617
20,88527.29071817188
