,lmin_b,lmin_o,lmin_p
0,104.25751663681082,104.25751663681082,102.65634714104799
1,100.82750439822728,104.82405572661465,103.2666854630779
2,103.15730311844446,102.94776849854514,101.95539366145839
3,102.89946724406693,104.71340684514601,108.47721212393245
4,116.93598263624494,132.77343045871442,106.9334959723487
5,106.67385766498252,106.27449697439006,101.42160509039597
6,102.15721512113876,103.29547150815156,82.36687233445284
7,,,
8,,,
9,,,
10,,,
11,,,
