Nman,lman,lmanS,lamml,year
323558.56018356624,103.59440338940125,103.59440338940125,104.00980503756098,2019
347671.0466736513,103.22249390044738,106.93272671982955,103.59491433644455,2020
357714.59699964017,102.88880837851777,110.02180828868948,103.22266510845307,2021
366979.19675528444,102.58994176736198,112.87130905476519,102.88925877834976,2022
375516.81964318856,102.32645963678353,115.4972145014335,102.59532627828142,2023
383357.3634963457,102.08793413317869,117.90872026587955,102.32923461790693,2024
390538.31725822185,101.87317486127918,120.117356773156,102.08965582915306,2025
