Dmin_b,Dmin_o,Dmin_p
98.61264945231646,96.06602982509469,70.82810870651946
104.0951511229496,123.43009265137954,100.0
100.0,100.0,100.0
100.0,100.0,100.0
100.0,100.0,100.0
100.0,100.0,100.0
100.0,100.0,114.39150832544922
,,
,,
,,
,,
,,
