,Ncon_b,Ncon_o,Ncon_p
0,2314.7491685644486,2258.7351075497704,1472.2613041046548
1,2501.5750656376613,3461.2669306226753,1358.90972655401
2,2341.712990392669,3336.978670874794,1328.3180707446047
3,2378.200972103307,3622.460992950827,1231.7719407552888
4,2634.5355378459935,5233.386510084651,1184.2322064876632
5,2586.447286099784,5313.953459377908,1232.96873316212
6,2776.698418084694,5984.301931022292,1855.265852373035
7,,,
8,,,
9,,,
10,,,
11,,,
