Nmin
6570684.75489665
6931165.626872268
7131250.333337618
7324539.830199241
8490604.195040902
9017981.294738924
9206462.20929008
6401700.869745439
8325100.796674772
8548229.17217245
8934244.745888066
11750267.544782067
12438557.034870401
12840371.03258302
4675617.776196389
4815502.152197248
4900688.06393475
5271978.021652989
5611083.132819168
5686926.8928554645
5429478.292948086
