,Dcon_b,Dcon_o,Dcon_p
0,98.47650674912924,95.67998367780775,67.96542908714696
1,104.49701418832232,125.7293213177123,100.0
2,100.0,100.0,100.0
3,100.0,100.0,100.0
4,100.0,100.0,100.0
5,100.0,100.0,100.0
6,100.0,100.0,115.80376772134585
7,,,
8,,,
9,,,
10,,,
11,,,
