,Dret_b,Dret_o,Dret_p
0,107.01869543362189,107.01869543362189,108.82016059491818
1,107.01869543362189,106.57417805615917,108.82016059491818
2,107.01869543362189,106.57417805615917,107.65037802264786
3,105.84891286135158,105.40439548388886,107.65037802264786
4,105.84891286135158,105.40439548388886,107.65037802264786
5,105.84891286135158,105.40439548388886,107.65037802264786
6,105.84891286135158,105.40439548388886,107.01869543362189
7,,,
8,,,
9,,,
10,,,
11,,,
