lagr_b,lagr_o,lagr_p
106.51816735977759,106.51816735977759,113.35631414843968
106.50471621197872,106.50471621197872,106.50587700396201
106.50587700396201,106.50587700396201,106.49132564031156
106.49132564031156,106.49132564031156,106.49528240806288
106.49528240806289,106.49528240806289,106.51046865356841
106.51046865356841,106.51046865356841,106.52184446984438
106.52184446984438,106.52184446984438,67.00031838814972
,,
,,
,,
,,
,,
