Nagr_b,Nagr_o,Nagr_p
9644.352977120772,9644.352977120772,10418.56264279514
10914.166850626254,10873.476698774977,11968.582359962209
12351.304084476018,12259.379598819753,13614.45938723414
13838.65169917525,13683.941024274736,15487.24700929131
15505.682248599107,15274.606506331244,17620.165181889537
17376.003966020075,17052.60743737324,20048.97193947277
19474.006757207953,19039.60525441669,14273.077596882182
,,
,,
,,
,,
,,
