Nret_b,Nret_o,Nret_p
21141.00421105992,21141.00421105992,21496.87457937949
23372.38250343591,23275.41616772318,24177.179015808528
25842.517344280463,25627.91719630363,26890.626749713312
28260.6145986693,27907.852937979627,29909.019749106323
30907.806377662946,30393.69242180011,33270.25941874649
33806.54724607569,33104.60791116379,37012.095594265345
36979.776685442586,36059.961027137644,32976.58000734993
,,
,,
,,
,,
,,
