Nman,lman,lmanS,lamml,year
323513.49308998755,103.57905443549427,103.57905443549427,103.99268222021695,2019
339666.6993956286,103.20749017188413,106.90134242664325,103.5781766417961,2020
347611.88046049967,102.83237350684122,109.92918772799312,103.15970811441899,2021
357457.54726929544,102.59612941023303,112.78309170102983,102.89616152099352,2022
366737.6077830513,114.54407611190791,129.1863503993905,116.22492061746951,2023
420076.20459000865,106.29108325764449,137.3135712605285,107.01813753364519,2024
446503.5483663191,102.10732555373505,140.2072152364478,102.35086708577676,2025
455912.83173937624,77.17914428734798,108.2107289486106,74.5417605414379,2019
338027.176239482,102.61055822173878,111.03563302998202,102.9122578559882,2020
428119.2172754644,102.63006980355851,113.95594768549361,102.93402437203984,2021
439379.05153225746,104.13214206624592,118.66476933679509,104.60968964196046,2022
457534.8181508942,128.12355129931836,152.03751661544646,131.373762334699,2023
586209.8574458038,106.38240960825473,161.7411736840626,107.12001838035783,2024
623624.1717119612,103.08221346624794,166.72638191982023,103.43842183107279,2025
642845.5999112444,65.04431594343941,108.44603461699332,61.004522075989044,2020
296156.77451455226,99.16181904977236,107.5370606135564,99.06495130554329,2021
293674.4448477627,101.62225137673602,109.28158205986126,101.80973336543339,2022
298438.58257242735,107.28593585006125,117.24376802467481,108.12796425717492,2023
320182.6262504865,106.22997537462832,124.54802590089841,106.94996747296824,2024
340129.92501973006,101.4814961658834,126.39320012930368,101.65271121393975,2025
345168.9368179194,85.05179685116374,107.4996878076602,83.32424778325365,2019
