Nman_b,lman_b,lmanS_b,lamml_b,Nman_o,lman_o,lmanS_o,lamml_o,Nman_p,lman_p,lmanS_p,lamml_p
249.45192937121902,88.07743841395136,88.07743841395136,90.76519498712507,243.3387985328874,88.07743841395136,88.07743841395136,90.76519498712507,167.8566299672534,80.89707320450117,80.89707320450117,85.20353173615926
267.563714717477,103.24555046593706,90.93603612678078,102.51389145663515,348.67646940805776,117.20953785517241,103.23515851966647,113.32991449087397,160.85971921769675,95.83161490200199,77.5249716603282,96.77131266458461
254.85484138448,95.2501506617157,86.6167114165509,96.32093051790844,330.7572455697002,94.86078774722634,97.92968460385346,96.01934343290137,160.39897924658925,99.71357654150573,77.302921955302,99.77814626737572
258.2032786183963,101.31386055517966,87.75473422204675,101.01767107291688,346.6142949946804,104.7941653999651,102.62459565942635,103.71339517507346,154.2137855317623,96.14386965311161,74.32202052275214,97.01317442558532
281.1183678069561,108.8748250259155,95.54281333621059,106.87413338536373,467.560964121225,134.8937337187437,138.43414879876397,127.02748270479452,152.11533328405056,98.63925767694774,73.31068933415146,98.94601592657247
277.573294899401,98.73893942426788,94.3379605842823,99.02322597016926,464.89912113884185,99.43069606176682,137.64603773779302,99.55903680390318,158.52505043477052,104.21372192555425,76.39979792439956,103.2638036784397
294.8105472895465,106.20998226662715,100.19633120726394,104.81003809054083,505.65922142071156,108.76751502175817,149.71417477330894,106.79101475710827,210.09963910822012,116.59895901171564,89.08136906690423,112.85698117670195
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
