,lret_b,lret_o,lret_p
0,104.68551089732136,104.68551089732136,104.68551089732136
1,100.92342652971466,105.32069474901459,103.60321324220041
2,103.4805297228471,103.25738962292468,102.16435348081075
3,103.20162966833935,105.19755816377592,109.33298373147188
4,118.64405659200483,136.08181071392204,107.64987931445948
5,107.38150078307804,106.96518960822752,101.58752137358053
6,102.39424402834003,103.64659847273722,80.57246479226245
7,,,
8,,,
9,,,
10,,,
11,,,
