,Nret_b,Nret_o,Nret_p
0,23871.985359869814,23871.985359869814,24272.34403519392
1,25776.72367039752,26788.504383336072,27356.17122367452
2,28538.658088267523,29472.42164861509,30077.961324891723
3,31168.20217903474,32673.24597189923,35391.03707233102
4,39133.56276299805,46855.7790333595,41001.57394921116
5,44470.34579206384,52817.32834990152,44826.47459537368
6,48187.8665626735,57690.23189077556,38642.78543025592
7,,,
8,,,
9,,,
10,,,
11,,,
