Nman_b,lman_b,lmanS_b,lamml_b,Nman_o,lman_o,lmanS_o,lamml_o,Nman_p,lman_p,lmanS_p,lamml_p
323516.83652456285,103.57905443549427,103.57905443549427,103.99268222021695,315168.4085125178,103.57905443549427,103.57905443549427,103.99268222021695,229380.637126144,102.21906435576109,102.21906435576109,102.4755194307462
339668.360561403,100.86494563600658,104.47495694665098,100.96490654852555,405556.13603468915,104.26722300259308,107.9990036722341,104.76038174865069,235952.80411383204,102.86517949816043,105.14782403089377,103.19630546174004
348950.734228571,102.73277547894838,107.33002295173095,103.04859964085327,416462.02880916605,102.68912039677389,110.90322690829673,102.99989938396651,240188.5264996107,101.79515662112463,107.03539215595283,102.002621098072
357998.4383299469,102.59283136955644,110.11290945577556,102.89248232901468,433690.050101979,104.13675679919123,115.49102368794819,104.61483769503255,257720.33906917952,107.29918819398611,114.84810686358688,108.14274816139282
410071.2480123773,114.54554101558338,126.12942786411759,116.22655481861531,555713.6980619696,128.13614191316992,147.985742009762,131.38780803335288,273766.4093620453,106.22615597621052,121.99872913263874,106.94570667044917
435829.878873497,106.28150132104415,134.05224954162756,107.00744822209967,591053.9884627047,106.35944201555279,157.39680946415834,107.09439644566112,277814.88141590526,101.47880525711466,123.80285275266527,101.64970931950344
445005.9369573206,102.10542198427083,136.8746150738866,102.34874352267045,609250.2297140693,103.07860899453397,162.2424417974314,103.43440079412433,270152.78726024635,85.01592794912793,105.25214409517085,83.28423354765084
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
