Nind
6495977.599029905
6818521.150521529
7032015.5460655065
7236517.0899351705
8409168.34362633
8999480.844597524
9212211.715377595
6623506.4376054555
8311219.512880307
8637794.977780001
9036679.444505384
11865217.489920264
12709981.744715005
13148292.525202693
5895573.3871339
5723487.311763632
5830385.102972979
6305274.6398029635
6745064.31755399
6860853.160087714
6495068.518755829
