,o_inflation
0,106.990985848
1,106.990985848
2,106.990985848
3,105.82582153999999
4,105.82582153999999
5,105.82582153999999
6,105.82582153999999
7,106.990985848
8,106.54822341096
9,106.54822341096
10,105.38305910296
11,105.38305910296
12,105.38305910296
13,105.38305910296
14,108.78533888232
15,108.78533888232
16,107.62017457432
17,107.62017457432
18,107.62017457432
19,107.62017457432
20,106.990985848
