,0
0,4421860.417353602
1,5762598.775409208
2,6460378.702476526
3,7216746.909361198
4,8037941.957112065
5,8750485.14774242
6,9689868.891312456
7,4355107.302794482
8,7312767.446113147
9,8689370.733568799
10,10536914.936573155
11,14444758.318883734
12,17326694.24493276
13,21317009.527260322
14,3683523.0801843144
15,4057155.1718269526
16,4421586.319951988
17,4495978.380198405
18,4721421.889640297
19,5012716.202331479
20,5737242.924711343
